probe_id,Gene Symbol,Gene Title,logFC,P.Value,adj.P.Val,regulation
266_s_at,CD24,CD24 molecule,3.941231048435299,4.2859126339619874e-18,3.183433040752499e-14,Upregulated in Cancer
201650_at,KRT19,keratin 19,4.683268941636595,2.6944576783834533e-17,1.20081200894837e-13,Upregulated in Cancer
201839_s_at,EPCAM,epithelial cell adhesion molecule,2.388213224759241,4.7306893940008776e-17,1.756899196108693e-13,Upregulated in Cancer
202286_s_at,TACSTD2,tumor-associated calcium signal transducer 2,2.6515140344193284,1.385995749071337e-15,2.723987074190017e-12,Upregulated in Cancer
202988_s_at,RGS1,regulator of G-protein signaling 1,2.3241119359168847,6.914829376748996e-15,1.0041258468894848e-11,Upregulated in Cancer
209771_x_at,CD24,CD24 molecule,1.8485693872033675,1.1960790453708648e-14,1.3326114683999492e-11,Upregulated in Cancer
201286_at,SDC1,syndecan 1,2.0394985029966737,3.0508872123488944e-14,2.4537373661318397e-11,Upregulated in Cancer
218237_s_at,SLC38A1,"solute carrier family 38, member 1",1.799338179058967,3.5175050033202003e-14,2.6398012153192512e-11,Upregulated in Cancer
201131_s_at,CDH1,"cadherin 1, type 1, E-cadherin (epithelial)",2.3803683835987286,3.586026397500127e-14,2.6398012153192512e-11,Upregulated in Cancer
201596_x_at,KRT18,keratin 18,2.6167589988183906,2.179143023866959e-13,1.184337658556767e-10,Upregulated in Cancer
